school_name,lea_name,lea_no,isp,eligible
G R Whitfield Elementary,Pitt County Schools,740,49.1,X
Grifton Elementary,Pitt County Schools,740,56.1,X
H B Sugg Elementary,Pitt County Schools,740,59.5,X
Junius H Rose High,Pitt County Schools,740,43.7,X
Lakeforest Elementary,Pitt County Schools,740,69.2,X
North Pitt High,Pitt County Schools,740,49.3,X
Northwest Elementary,Pitt County Schools,740,73.2,X
Pactolus Elementary,Pitt County Schools,740,63.7,X
Ridgewood Elementary Schoo,Pitt County Schools,740,32.5,
Sadie Saulter Educational Center,Pitt County Schools,740,65.5,X
Sam D Bundy Elementary,Pitt County Schools,740,53.7,X
South Central High,Pitt County Schools,740,35.2,
South Greenville Elementary,Pitt County Schools,740,81.3,X
Stokes Elementary,Pitt County Schools,740,42.4,X
W H Robinson Elementary,Pitt County Schools,740,42.2,X
Wahl Coates Elementary,Pitt County Schools,740,68,X
Wellcome Middle,Pitt County Schools,740,63.3,X
Wintergreen Primary,Pitt County Schools,740,34.6,
Polk Central,Polk County Schools,750,53.4,X
Polk County Middle,Polk County Schools,750,38.3,
Saluda Elementary,Polk County Schools,750,44.6,X
Sunny View Elementary,Polk County Schools,750,51.2,X
Tryon Elementary,Polk County Schools,750,46.9,X
Archdale Elementary,Randolph County Schools,760,40.1,X
Braxton Craven Middle,Randolph County Schools,760,30,
Coleridge Elementary,Randolph County Schools,760,44.6,X
Eastern Randolph High,Randolph County Schools,760,34.3,
Farmer Elementary,Randolph County Schools,760,36.8,
Franklinville Elementary,Randolph County Schools,760,47.8,X
Grays Chapel Elementary,Randolph County Schools,760,41.9,X
Hopewell Elementary,Randolph County Schools,760,30.9,
Level Cross Elementary,Randolph County Schools,760,39.9,
Liberty Elem,Randolph County Schools,760,43.7,X
New Market Elementary,Randolph County Schools,760,43.2,X
Northeastern Randolph Middle,Randolph County Schools,760,36.1,
Ramseur Elementary,Randolph County Schools,760,64.5,X
Randleman Elementary,Randolph County Schools,760,47.3,X
Randleman High,Randolph County Schools,760,31.7,
Randleman Middle,Randolph County Schools,760,43.5,X
Seagrove Elementary,Randolph County Schools,760,47.1,X
Southeastern Randolph Mid,Randolph County Schools,760,43.7,X
Southmont Elementary,Randolph County Schools,760,43.3,X
Southwestern Randolph High,Randolph County Schools,760,30.2,
Southwestern Randolph Mid,Randolph County Schools,760,39.8,
Tabernacle Elementary,Randolph County Schools,760,43.1,X
Trindale Elementary,Randolph County Schools,760,36.4,
Trinity Elementary,Randolph County Schools,760,44.6,X
Uwharrie Middle,Randolph County Schools,760,32.7,
Asheboro High,Asheboro City Schools,761,37.1,
Balfour Elementary,Asheboro City Schools,761,58.4,X
Charles W McCrary Elementary,Asheboro City Schools,761,66.1,X
Donna L Loflin Elementary,Asheboro City Schools,761,56.8,X
Guy B Teachey Elementary,Asheboro City Schools,761,44,X
Lindley Park Elementary,Asheboro City Schools,761,46.6,X
North Asheboro Middle,Asheboro City Schools,761,56.1,X
South Asheboro Middle,Asheboro City Schools,761,40,X
Cordova Elementary,Richmond County Schools,770,52.2,X
East Rockingham Elementary,Richmond County Schools,770,70.2,X
Ellerbe Middle School,Richmond County Schools,770,53.2,X
Fairview Heights Elementary,Richmond County Schools,770,57.7,X
Hamlet Middle School,Richmond County Schools,770,52.2,X
L J Bell Elementary,Richmond County Schools,770,57,X
Leak Street High School,Richmond County Schools,770,77.3,X
Mineral Springs Elementary,Richmond County Schools,770,59.3,X
Monroe Avenue Elementary,Richmond County Schools,770,70.8,X
Richmond 9th Grade Academy,Richmond County Schools,770,50.1,X
Richmond Early College,Richmond County Schools,770,36.8,
Richmond Senior High,Richmond County Schools,770,42.6,X
Rockingham Middle School,Richmond County Schools,770,46.6,X
Rohanen Middle School,Richmond County Schools,770,61.5,X
Washington Street,Richmond County Schools,770,61.7,X
West Rockingham Elementary,Richmond County Schools,770,70.4,X
Deep Branch Elementary,Robeson County Schools,780,73.4,X
East Robeson Primary,Robeson County Schools,780,67.6,X
Fairgrove Middle,Robeson County Schools,780,60.6,X
Fairmont High,Robeson County Schools,780,53.3,X
Fairmont Middle,Robeson County Schools,780,70.5,X
Green Grove Elementary,Robeson County Schools,780,73.9,X
Janie C Hargrave Elem,Robeson County Schools,780,76.9,X
L Gilbert Carroll Middle,Robeson County Schools,780,56.9,X
Littlefield Middle,Robeson County Schools,780,52,X
Long Branch Elementary,Robeson County Schools,780,74.6,X
Lumberton Junior High,Robeson County Schools,780,61.2,X
Lumberton Senior High,Robeson County Schools,780,46,X
Magnolia Elementary,Robeson County Schools,780,64.5,X
Orrum Middle,Robeson County Schools,780,61.7,X
Oxendine Elementary,Robeson County Schools,780,74.3,X
Parkton Elementary,Robeson County Schools,780,70.3,X
Pembroke Elementary,Robeson County Schools,780,65.7,X
Pembroke Middle,Robeson County Schools,780,58.8,X
Peterson Elementary,Robeson County Schools,780,77.3,X
Piney Grove Elementary,Robeson County Schools,780,68.5,X
Prospect Elementary,Robeson County Schools,780,49.3,X
Purnell Swett High,Robeson County Schools,780,44.5,X
R B Dean Elementary,Robeson County Schools,780,82.2,X
Red Springs High,Robeson County Schools,780,52.3,X
Red Springs Middle,Robeson County Schools,780,64.2,X
Rex-Rennert Elementary,Robeson County Schools,780,71.5,X
Rosenwald Elementary,Robeson County Schools,780,79.3,X
Rowland Middle,Robeson County Schools,780,62.1,X
Rowland Norment Elementary,Robeson County Schools,780,72.5,X
Saint Pauls Elementary,Robeson County Schools,780,68,X
Saint Pauls High,Robeson County Schools,780,45.2,X
Saint Pauls Middle,Robeson County Schools,780,54.4,X
South Robeson High,Robeson County Schools,780,52.4,X
Southside/Ashpole Elem,Robeson County Schools,780,78.6,X
Tanglewood Elementary,Robeson County Schools,780,34.1,
Townsend Middle,Robeson County Schools,780,62.9,X
Union Chapel Elementary,Robeson County Schools,780,63.7,X
Union Elementary,Robeson County Schools,780,60.1,X
W H Knuckles,Robeson County Schools,780,91.5,X
West Lumberton Elementary,Robeson County Schools,780,88.5,X
Central Elementary,Rockingham County Schools,790,52.5,X
Douglass Elementary,Rockingham County Schools,790,52,X
Draper Elementary,Rockingham County Schools,790,66.7,X
Huntsville Elementary,Rockingham County Schools,790,44.3,X
J E Holmes Middle,Rockingham County Schools,790,52.2,X
John M Morehead High,Rockingham County Schools,790,39.8,
John W Dillard Elementary,Rockingham County Schools,790,62,X
Leaksville-Spray Elementary,Rockingham County Schools,790,61.2,X
Lincoln Elementary,Rockingham County Schools,790,53.7,X
Monroeton Elementary,Rockingham County Schools,790,50.1,X
Moss Street Elementary,Rockingham County Schools,790,78.1,X
Reidsville High,Rockingham County Schools,790,44,X
Reidsville Middle,Rockingham County Schools,790,55.7,X
Rockingham County Middle,Rockingham County Schools,790,32,
South End Elementary,Rockingham County Schools,790,55.1,X
Stoneville Elementary,Rockingham County Schools,790,50.6,X
The SCORE Center,Rockingham County Schools,790,68.3,X
Wentworth Elementary,Rockingham County Schools,790,38.3,
Western Rockingham Middle,Rockingham County Schools,790,36.6,
Williamsburg Elementary,Rockingham County Schools,790,58.4,X
Bostian Elementary,Rowan-Salisbury Schools,800,32.8,
Carroll T Overton Elementary,Rowan-Salisbury Schools,800,63.2,X
Charles C Erwin Middle,Rowan-Salisbury Schools,800,31.2,
China Grove Elementary,Rowan-Salisbury Schools,800,48.1,X
China Grove Middle,Rowan-Salisbury Schools,800,35.9,
Cleveland Elementary,Rowan-Salisbury Schools,800,38.9,
Corriher Lipe Middle,Rowan-Salisbury Schools,800,39.9,
E Hanford Dole Elementary,Rowan-Salisbury Schools,800,67.6,X
Elizabeth Koontz Elementary,Rowan-Salisbury Schools,800,72.2,X
Enochville Elementary,Rowan-Salisbury Schools,800,39,
Faith Elementary,Rowan-Salisbury Schools,800,38.7,
Granite Quarry Elementary,Rowan-Salisbury Schools,800,42.2,X
H D Isenberg Elementary,Rowan-Salisbury Schools,800,57.2,X
Henderson Independent High,Rowan-Salisbury Schools,800,75,X
Hurley Elementary,Rowan-Salisbury Schools,800,54.9,X
Knollwood Elementary,Rowan-Salisbury Schools,800,49.2,X
Knox Middle,Rowan-Salisbury Schools,800,61.7,X
Landis Elementary,Rowan-Salisbury Schools,800,53.3,X
Millbridge Elementary,Rowan-Salisbury Schools,800,35.6,
Morgan Elementary,Rowan-Salisbury Schools,800,43.8,X
Mount Ulla Elementary,Rowan-Salisbury Schools,800,36.9,
North Rowan Elementary,Rowan-Salisbury Schools,800,63.8,X
North Rowan High,Rowan-Salisbury Schools,800,43.2,X
North Rowan Middle,Rowan-Salisbury Schools,800,51.3,X
Rockwell Elementary,Rowan-Salisbury Schools,800,33.5,
Rowan County Early College,Rowan-Salisbury Schools,800,30.9,
Salisbury High,Rowan-Salisbury Schools,800,43.8,X
Shive Elementary,Rowan-Salisbury Schools,800,45,X
South Rowan High,Rowan-Salisbury Schools,800,33.3,
Southeast Middle,Rowan-Salisbury Schools,800,30.2,
West Rowan Middle,Rowan-Salisbury Schools,800,33,
Woodleaf Elementary,Rowan-Salisbury Schools,800,42.9,X
Carver Center,Rutherford County Schools,810,76.1,X
Chase High,Rutherford County Schools,810,37.4,
Chase Middle,Rutherford County Schools,810,49,X
Cliffside Elementary,Rutherford County Schools,810,62.7,X
East Rutherford High,Rutherford County Schools,810,38.4,
East Rutherford Middle,Rutherford County Schools,810,52.4,X
Ellenboro Elementary,Rutherford County Schools,810,54.8,X
Forest City Dunbar Elementary,Rutherford County Schools,810,87.2,X
Forrest W Hunt Elementary,Rutherford County Schools,810,64.9,X
Harris Elementary,Rutherford County Schools,810,49.8,X
Mt Vernon-Ruth Elementary,Rutherford County Schools,810,69.3,X
Pinnacle Elementary,Rutherford County Schools,810,49.5,X
R S Central,Rutherford County Schools,810,41.4,X
R S Middle,Rutherford County Schools,810,49.7,X
Rutherford Opportunity Center,Rutherford County Schools,810,80,X
Rutherfordton Elementary,Rutherford County Schools,810,54.3,X
Spindale Elementary,Rutherford County Schools,810,82.9,X
Sunshine Elementary,Rutherford County Schools,810,54.6,X
Clement Elementary,Sampson County Schools,820,48.8,X
Hargrove Elementary,Sampson County Schools,820,57.7,X
Hobbton Elementary,Sampson County Schools,820,54.6,X
Hobbton High,Sampson County Schools,820,37.7,
Hobbton Middle,Sampson County Schools,820,46.8,X
Lakewood High,Sampson County Schools,820,45,X
Midway Elementary,Sampson County Schools,820,43,X
Midway Middle,Sampson County Schools,820,35.1,
Plain View Elementary,Sampson County Schools,820,41.2,X
Roseboro Elementary School,Sampson County Schools,820,63.7,X
Roseboro-Salemburg Middle,Sampson County Schools,820,54.9,X
Salemburg Elementary,Sampson County Schools,820,58.1,X
Union Elementary,Sampson County Schools,820,60.6,X
Union High,Sampson County Schools,820,44.3,X
Union Intermediate School,Sampson County Schools,820,59,X
Union Middle,Sampson County Schools,820,56.4,X
Butler Avenue Elementary,Clinton City Schools,821,52.9,X
Clinton High,Clinton City Schools,821,36.2,
Langdon C Kerr Elem,Clinton City Schools,821,59.5,X
Sampson Middle,Clinton City Schools,821,41.2,X
Sunset Avenue Elementary School,Clinton City Schools,821,47.8,X
Carver Middle,Scotland County Schools,830,64.6,X
Covington Street Elementary,Scotland County Schools,830,61.2,X
I E Johnson Elementary,Scotland County Schools,830,83.1,X
Laurel Hill Elementary,Scotland County Schools,830,57.4,X
North Laurinburg Elementary,Scotland County Schools,830,88.8,X
Pate Gardner Elementary,Scotland County Schools,830,76.6,X
Scotland County High School,Scotland County Schools,830,50.5,X
Scotland Early College High School,Scotland County Schools,830,36.9,
Shaw Academy,Scotland County Schools,830,82,X
South Scotland Elementary,Scotland County Schools,830,48.1,X
Spring Hill Middle,Scotland County Schools,830,50.2,X
Sycamore Lane Middle,Scotland County Schools,830,54.5,X
Wagram Primary,Scotland County Schools,830,67.1,X
Washington Park Elementary,Scotland County Schools,830,61.5,X
Albemarle High,Stanly County Schools,840,47.2,X
Albemarle Middle,Stanly County Schools,840,58.1,X
Aquadale Elementary,Stanly County Schools,840,37.5,
Badin Elementary,Stanly County Schools,840,47.7,X
Central Elementary,Stanly County Schools,840,66.6,X
East Albemarle Elementary,Stanly County Schools,840,64.7,X
Endy Elementary,Stanly County Schools,840,32.2,
Millingport Elementary,Stanly County Schools,840,39,
Norwood Elementary,Stanly County Schools,840,44.4,X
Oakboro Elementary,Stanly County Schools,840,34.7,
South Stanly Middle,Stanly County Schools,840,37.1,
Stanfield Elementary,Stanly County Schools,840,32,
Stanly Academy,Stanly County Schools,840,73.5,X
Francisco Elementary,Stokes County Schools,850,60.3,X
Germanton Elementary,Stokes County Schools,850,36.7,
King Elementary,Stokes County Schools,850,43.5,X
Lawsonville Elementary,Stokes County Schools,850,30.8,
London Elementary,Stokes County Schools,850,46,X
Meadowbrook School,Stokes County Schools,850,58.3,X
Nancy Reynolds Elementary,Stokes County Schools,850,40.4,X
Pine Hall Elementary,Stokes County Schools,850,53.4,X
Piney Grove Middle,Stokes County Schools,850,35.6,
Pinnacle Elementary,Stokes County Schools,850,42.9,X
Popular Springs Elementary,Stokes County Schools,850,31.1,
Sandy Ridge  Elem,Stokes County Schools,850,40.7,X
Southeastern Stokes Middle,Stokes County Schools,850,35.3,
Walnut Cove Elementary,Stokes County Schools,850,44.4,X
Cedar Ridge Elementary,Surry County Schools,860,51.1,X
Central Middle,Surry County Schools,860,43.3,X
Copeland Elementary,Surry County Schools,860,53.3,X
Dobson Elementary,Surry County Schools,860,42.5,X
Flat Rock Elementary,Surry County Schools,860,65.8,X
Franklin Elementary,Surry County Schools,860,52.9,X
J Sam Gentry Middle,Surry County Schools,860,33.8,
Meadowview Middle,Surry County Schools,860,53.2,X
Mountain Park Elementary,Surry County Schools,860,51.3,X
North Surry High,Surry County Schools,860,34.9,
Pilot Mountain Elementary,Surry County Schools,860,39.2,
Pilot Mountain Middle,Surry County Schools,860,34.7,
Rockford Elementary,Surry County Schools,860,46.5,X
Surry Central High,Surry County Schools,860,32.2,
Surry Early College High School of Design,Surry County Schools,860,35.6,
Westfield Elementary,Surry County Schools,860,46.5,X
White Plains Elementary,Surry County Schools,860,37.4,
Bruce H Tharrington Elem,Mount Airy City Schools,862,47.1,X
Jones Intermediate,Mount Airy City Schools,862,37.7,
Mount Airy Middle,Mount Airy City Schools,862,38.1,
Swain Co East Elementary,Swain County Schools,870,37,
Swain Co West Elementary,Swain County Schools,870,45.5,X
Swain County Middle,Swain County Schools,870,37.4,
Brevard Elementary,Transylvania County Schools,880,52.4,X
Brevard High,Transylvania County Schools,880,31.1,
Brevard Middle,Transylvania County Schools,880,38.8,
Davidson River School,Transylvania County Schools,880,65.9,X
Pisgah Forest Elementary,Transylvania County Schools,880,46.1,X
Rosman Elementary,Transylvania County Schools,880,54.9,X
Rosman High,Transylvania County Schools,880,37.9,
Rosman Middle,Transylvania County Schools,880,43.6,X
T C Henderson Elementary,Transylvania County Schools,880,52.6,X
Columbia High,Tyrrell County Schools,890,32.7,
Columbia Middle,Tyrrell County Schools,890,54.1,X
Tyrrell Elementary,Tyrrell County Schools,890,51.7,X
Benton Heights Elementary,Union County Public Schools,900,53.1,X
East Elementary,Union County Public Schools,900,77.7,X
East Union Middle,Union County Public Schools,900,45.7,X
Forest Hills High,Union County Public Schools,900,37.7,
Marshville Elementary,Union County Public Schools,900,55.9,X
Monroe High,Union County Public Schools,900,45.9,X
Monroe Middle,Union County Public Schools,900,50.7,X
Prospect Elementary,Union County Public Schools,900,32.8,
Rock Rest Elementary,Union County Public Schools,900,64,X
Rocky River Elementary,Union County Public Schools,900,36.4,
Sardis Elementary,Union County Public Schools,900,36.2,
South Providence,Union County Public Schools,900,63.3,X
Union Elementary,Union County Public Schools,900,45.8,X
Walter Bickett Elementary,Union County Public Schools,900,64.8,X
Wingate Elementary,Union County Public Schools,900,58.7,X
Aycock Elementary,Vance County Schools,910,62.7,X
Carver Elementary,Vance County Schools,910,67.8,X
Clarke Elementary,Vance County Schools,910,73.3,X
Dabney Elementary,Vance County Schools,910,67.1,X
E M Rollins Elementary,Vance County Schools,910,74.7,X
E O Young Jr Elementary,Vance County Schools,910,64.7,X
Eaton-Johnson Middle,Vance County Schools,910,67.8,X
Henderson Middle,Vance County Schools,910,75.5,X
L B Yancey Elementary,Vance County Schools,910,78,X
New Hope Elementary,Vance County Schools,910,73.8,X
Northern Vance High,Vance County Schools,910,54,X
Pinkston Street Elementary,Vance County Schools,910,81.6,X
Southern Vance High,Vance County Schools,910,55.2,X
STEM Early High School,Vance County Schools,910,48.1,X
Western Vance High,Vance County Schools,910,67.9,X
Zeb Vance Elementary,Vance County Schools,910,61.2,X
Aversboro Elementary,Wake County Schools,920,34.9,
Baileywick Road Elementary,Wake County Schools,920,33.1,
Bar Well Road Elementary,Wake County Schools,920,44.6,X
Brentwood Elementary,Wake County Schools,920,46.5,X
Bugg Elementary,Wake County Schools,920,41.1,X
Carroll Middle,Wake County Schools,920,31,
Carver Elementary,Wake County Schools,920,39.2,
Conn Elementary,Wake County Schools,920,35.5,
Creech Road Elementary,Wake County Schools,920,49.4,X
Dillard Drive Elementary,Wake County Schools,920,38.6,
Dillard Drive Middle,Wake County Schools,920,30.4,
East Garner Elementary,Wake County Schools,920,50.2,X
East Garner Middle,Wake County Schools,920,31.3,
East Millbrook Middle,Wake County Schools,920,39.7,
East Wake High,Wake County Schools,920,30.6,
East Wake Middle,Wake County Schools,920,34.2,
Forestville Road Elementary,Wake County Schools,920,33.6,
Fox Road Elementary,Wake County Schools,920,43.8,X
Green Elementary,Wake County Schools,920,50.4,X
Hodge Road Elementary,Wake County Schools,920,42.8,X
Hunter Elementary,Wake County Schools,920,33.1,
Knightdale Elementary,Wake County Schools,920,42.5,X
Lake Myra Elementary,Wake County Schools,920,30.6,
Lincoln Heights Elementary,Wake County Schools,920,47.7,X
Lockhart Elementary,Wake County Schools,920,34.5,
Longview,Wake County Schools,920,66.7,X
Lynn Road Elementary,Wake County Schools,920,35.9,
Millbrook Elementary,Wake County Schools,920,39.8,
Moore Square Museum Magnet Mid,Wake County Schools,920,30,
Mount Vernon,Wake County Schools,920,52.6,X
Phillips High,Wake County Schools,920,55.4,X
Poe Elementary,Wake County Schools,920,51.2,X
Powell Elementary,Wake County Schools,920,46.5,X
Project Enlightenment,Wake County Schools,920,53.3,X
Reedy Creek Elementary,Wake County Schools,920,37,
Richland Creek Elementary,Wake County Schools,920,37.3,
River Bend Elementary,Wake County Schools,920,37.6,
River Oaks Middle,Wake County Schools,920,60.3,X
Smith Elementary,Wake County Schools,920,41.5,X
Southeast Raleigh High,Wake County Schools,920,33.7,
Stough Elementary,Wake County Schools,920,36.1,
Vandora Springs Elementary,Wake County Schools,920,37.9,
Wakelon Elementary,Wake County Schools,920,56.2,X
Walnut Creek Elementary,Wake County Schools,920,55.4,X
Wendell Elementary,Wake County Schools,920,36.5,
Wendell Middle,Wake County Schools,920,31.6,
Wilburn Elementary,Wake County Schools,920,46.1,X
Wildwood Forest Elementary,Wake County Schools,920,32.7,
Yates Mill Elementary,Wake County Schools,920,34.5,
York Elementary,Wake County Schools,920,35.7,
Zebulon Elementary,Wake County Schools,920,40.6,X
Zebulon Middle,Wake County Schools,920,34.4,
Mariam Boyd Elementary,Warren County Schools,930,79.4,X
Northside Elementary,Warren County Schools,930,68.9,X
South Warren Elementary,Warren County Schools,930,66.5,X
Vaughan Elementary,Warren County Schools,930,60.7,X
Warren County High,Warren County Schools,930,56.9,X
Warren County Middle,Warren County Schools,930,61.8,X
Warren Early College,Warren County Schools,930,37.5,
Warren New Tech High School,Warren County Schools,930,40.5,X
Creswell Elementary,Washington County Schools,940,48.4,X
Creswell High,Washington County Schools,940,39.5,
Pines Elementary,Washington County Schools,940,74.6,X
Plymouth High,Washington County Schools,940,58,X
Washington County Union,Washington County Schools,940,69.1,X
Cove Creek Elementary,Watauga County Schools,950,32.2,
Green Valley Elementary,Watauga County Schools,950,37.4,
Mabel Elementary,Watauga County Schools,950,32.7,
Brogden Middle,Wayne County Public Schools,960,56.6,X
Brogden Primary,Wayne County Public Schools,960,66.9,X
Carver Elementary,Wayne County Public Schools,960,59.3,X
Carver Heights,Wayne County Public Schools,960,85.3,X
Dillard Middle,Wayne County Public Schools,960,82,X
Eastern Wayne Elementary,Wayne County Public Schools,960,51,X
Eastern Wayne High,Wayne County Public Schools,960,30.6,
Eastern Wayne Middle,Wayne County Public Schools,960,40.2,X
Edgewood Cmty Developmental,Wayne County Public Schools,960,34.7,
Fremont Elementary,Wayne County Public Schools,960,47.8,X
Goldsboro High,Wayne County Public Schools,960,69,X
Grantham,Wayne County Public Schools,960,45.9,X
Greenwood Middle,Wayne County Public Schools,960,42.7,X
Meadow Lane Elementary,Wayne County Public Schools,960,38.7,
Mount Olive Middle,Wayne County Public Schools,960,45.1,X
North Drive Elementary,Wayne County Public Schools,960,82.5,X
Northeast Elementary,Wayne County Public Schools,960,42.6,X
Northwest Elementary,Wayne County Public Schools,960,34.9,
Norwayne Middle,Wayne County Public Schools,960,33.8,
Rosewood Elementary,Wayne County Public Schools,960,38.8,
Rosewood Middle,Wayne County Public Schools,960,32.6,
School Street Elementary,Wayne County Public Schools,960,87.6,X
Southern Wayne High,Wayne County Public Schools,960,41.8,X
Spring Creek Elementary,Wayne County Public Schools,960,49.3,X
Spring Creek High,Wayne County Public Schools,960,33.6,
Tommys Road Elementary,Wayne County Public Schools,960,45.7,X
Wayne Academy,Wayne County Public Schools,960,61.2,X
Boomer-Ferguson Elementary,Wilkes County Schools,970,61,X
C B Eller Elementary,Wilkes County Schools,970,44,X
C C Wright Elementary,Wilkes County Schools,970,53.8,X
Central Wilkes Middle,Wilkes County Schools,970,42.8,X
East Wilkes High,Wilkes County Schools,970,30.3,
East Wilkes Middle,Wilkes County Schools,970,37.7,
Millers Creek Elementary,Wilkes County Schools,970,44.4,X
Moravian Falls Elementary,Wilkes County Schools,970,56.8,X
Mount Pleasant Elementary,Wilkes County Schools,970,31.7,
Mountain View Elementary,Wilkes County Schools,970,44.4,X
Mulberry Elementary,Wilkes County Schools,970,55,X
North Wilkes High,Wilkes County Schools,970,33.8,
North Wilkes Middle,Wilkes County Schools,970,44.9,X
North Wilkesboro Elementary,Wilkes County Schools,970,71.1,X
Roaring River Elementary,Wilkes County Schools,970,44.4,X
Ronda-Clingman Elementary,Wilkes County Schools,970,35.3,
Traphill Elementary,Wilkes County Schools,970,47,X
West Wilkes Middle,Wilkes County Schools,970,37.4,
Wilkes Central High,Wilkes County Schools,970,33.9,
Wilkes Early College High,Wilkes County Schools,970,36.2,
Wilkesboro Elementary,Wilkes County Schools,970,41.5,X
B O Barnes Elementary,Wilson County Schools,980,71.5,X
Beddingfield High,Wilson County Schools,980,48.3,X
Charles H Darden Middle,Wilson County Schools,980,64.6,X
Elm City Elementary,Wilson County Schools,980,52.4,X
Elm City Middle,Wilson County Schools,980,33.6,
Fike High,Wilson County Schools,980,31.8,
Forest Hills Middle,Wilson County Schools,980,42.5,X
Gardners Elementary,Wilson County Schools,980,48.6,X
John W. Jones Elementary,Wilson County Schools,980,33.5,
Lee Woodard Elementary,Wilson County Schools,980,43.3,X
Lucama Elementary,Wilson County Schools,980,49.6,X
Margaret Hearne Elementary,Wilson County Schools,980,75.6,X
Milton M Daniels Learning Ctr.,Wilson County Schools,980,68.7,X
Speight Middle,Wilson County Schools,980,36.6,
Springfield Middle,Wilson County Schools,980,31.2,
Stantonsburg Elementary,Wilson County Schools,980,48.7,X
Toisnot Middle,Wilson County Schools,980,51.5,X
Vick Elementary,Wilson County Schools,980,75.1,X
Vinson-Bynum Elementary,Wilson County Schools,980,37.9,
Wells Elementary,Wilson County Schools,980,42.8,X
Wilson Early College Academy,Wilson County Schools,980,33.1,
Winstead Elementary,Wilson County Schools,980,62.9,X
Boonville Elementary,Yadkin County Schools,990,30.1,
East Bend Elementary,Yadkin County Schools,990,36,
Jonesville Elementary,Yadkin County Schools,990,43.5,X
West Yadkin Elementary,Yadkin County Schools,990,31.1,
Yadkin Success Academy,Yadkin County Schools,990,46,X
Yadkinville Elementary,Yadkin County Schools,990,39.7,
Bald Creek Elementary,Yancey County Schools,995,44.5,X
Burnsville Elementary,Yancey County Schools,995,50.7,X
Cane River Middle,Yancey County Schools,995,36.6,
Clearmont Elementary,Yancey County Schools,995,33.1,
East Yancey Middle,Yancey County Schools,995,39.3,
Micaville Elementary,Yancey County Schools,995,41.2,X
South Toe Elementary,Yancey County Schools,995,42.2,X
Cherokee Elementary,Cherokee Central School,1009,44.8,X
Cherokee High School,Cherokee Central School,1009,30.1,
Cherokee Middle School,Cherokee Central School,1009,43.4,X
